Path,Source,Mechanism,Start Node,Relationship Source,End Node,PMID,REL_type,Evidences
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,33723208,ASSOCIATION,The shared genomic functional changes between COVID-19 and all these three psychiatric disorders involve proinflammatory responses and cytokine secretion.
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,36626979,ASSOCIATION,"Available at:https://www.who.int/publications-detail/multisystem- inflammatory-syndrome-in-children-and-adolescents-with-covid-19; accessed May 17, 2020."
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,34008772,ASSOCIATION,"Combined with the results of previous studies (13,14,21), our findings suggest that the prognosis of COVID-19 may be enhanced when MSCs are used in the early stage of the inflammatory factor storm."
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,33723208,ASSOCIATION,"Given that it is difficult to study this extremely multifaceted nature of the pathophysiology directly in individuals affected with severe COVID-19, comparing common inflammatory substrates alongside shared signalling and ontology pathways holds promise."
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,33723208,ASSOCIATION,"Given the mediating effect of chronic inflammation in PTSD and conditions such as cardiovascular disease and chronic respiratory conditions that increase the risk for COVID-19 infection, a better understanding of such disease interaction pathways might open up opportunities for therapeutic interventions."
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,33723208,ASSOCIATION,"Our findings suggest that inflammatory signalling pathways dominate the acute COVID-19 infection response, and while there is little concordance at the level of individual genes between responses of PBMCs, there is concordance seen between COVID-19 and psychiatric disorders in a set of perturbed cell signalling pathways."
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,37874918,INCREASES,"Our results suggest that the pathogenesis of neurocognitive PCC may be related to events that occurred during acute phase of SARS-CoV-2 infection (including the presence of CNS inflammation during acute infection described previously), rather than a consequence of persistent viral CNS infection or residual CNS immune activation."
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,36230921,INCREASES,"The effects of systemic inflammation observed in the brain compartment during COVID-19 have been described in several reports in which CSF pro-inflammatory cytokines levels were elevated throughout the course of the disease [73,74]."
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,35765080,INCREASES,"Other theories regarding mortality and morbidity risk in FD secondary to COVID-19 infection propose that the pathophysiological background of FD may partly play a “protective role” against the cascade of systemic inflammation and organ damage, triggered by the virus [21]."
" COVID-19  →  Inflammation  →  MOG  →  Encephalomyelitis, Acute Disseminated", Sherpa," COVID-19-induced inflammation promotes MOG (myelin oligodendrocyte glycoprotein) antibodies, leading to IgG production and Encephalomyelitis, Acute Disseminated. (Roughly correct (MOG) side has not that strong support)",COVID-19,Sherpa,Inflammation,35717616,INCREASES,"Moreover, Halepas et al. reported that COVID-19 caused a postviral immunologic reaction resulting in a multisysytem inflammatory syndrome in children (MIS-C) (21)."
