Unnamed: 0.1,Unnamed: 0,Subject_Namespace,Subject,Relation,Object_Namespace,Object,pmid,evidence,Source,Association Score
4.0,4,DO,coronary artery disease,POSITIVE_CORRELATION,MESH,Inflammation,10381209.0,"Perhaps the risk factors that have the most obvious relationship to inflammatory processes include head trauma, transient ischemias, and microvascular defects",CBM,
5.0,5,MESH,Inflammation,POSITIVE_CORRELATION,DO,coronary artery disease,10381209.0,"Perhaps the risk factors that have the most obvious relationship to inflammatory processes include head trauma, transient ischemias, and microvascular defects",CBM,
6.0,6,MESH,Cytokines,INCREASES,GO,microglial cell activation,10381209.0,"Among earlier observations that stand out as pointing toward the need to consider inflammatory processes as important include: (1) Colton's demonstrations that cytokine-activated microglia produce ROS [3,4]; (2) that, in contrast to normal brain, proinflammatory cytokines are prevalent in Alzheimer's brains [5–7]; (3) the early indications that anti-inflammatory therapeutics may delay on-set of Alzheimer's disease [8]; and (4) the early demonstrations that complement and classic markers of immune-mediated damage are expressed in neurodegenerative brains [9,10].",CBM,
7.0,7,GO,microglial cell activation,INCREASES,MESH,Cytokines,10381209.0,"Among earlier observations that stand out as pointing toward the need to consider inflammatory processes as important include: (1) Colton's demonstrations that cytokine-activated microglia produce ROS [3,4]; (2) that, in contrast to normal brain, proinflammatory cytokines are prevalent in Alzheimer's brains [5–7]; (3) the early indications that anti-inflammatory therapeutics may delay on-set of Alzheimer's disease [8]; and (4) the early demonstrations that complement and classic markers of immune-mediated damage are expressed in neurodegenerative brains [9,10].",CBM,
8.0,8,GO,microglial cell activation,INCREASES,CHEBI,reactive oxygen species,10381209.0,"Among earlier observations that stand out as pointing toward the need to consider inflammatory processes as important include: (1) Colton's demonstrations that cytokine-activated microglia produce ROS [3,4]; (2) that, in contrast to normal brain, proinflammatory cytokines are prevalent in Alzheimer's brains [5–7]; (3) the early indications that anti-inflammatory therapeutics may delay on-set of Alzheimer's disease [8]; and (4) the early demonstrations that complement and classic markers of immune-mediated damage are expressed in neurodegenerative brains [9,10].",CBM,
9.0,9,CHEBI,reactive oxygen species,INCREASES,GO,microglial cell activation,10381209.0,"Among earlier observations that stand out as pointing toward the need to consider inflammatory processes as important include: (1) Colton's demonstrations that cytokine-activated microglia produce ROS [3,4]; (2) that, in contrast to normal brain, proinflammatory cytokines are prevalent in Alzheimer's brains [5–7]; (3) the early indications that anti-inflammatory therapeutics may delay on-set of Alzheimer's disease [8]; and (4) the early demonstrations that complement and classic markers of immune-mediated damage are expressed in neurodegenerative brains [9,10].",CBM,
10.0,10,DO,Alzheimer's disease,POSITIVE_CORRELATION,MESH,Cytokines,10381209.0,"Among earlier observations that stand out as pointing toward the need to consider inflammatory processes as important include: (1) Colton's demonstrations that cytokine-activated microglia produce ROS [3,4]; (2) that, in contrast to normal brain, proinflammatory cytokines are prevalent in Alzheimer's brains [5–7]; (3) the early indications that anti-inflammatory therapeutics may delay on-set of Alzheimer's disease [8]; and (4) the early demonstrations that complement and classic markers of immune-mediated damage are expressed in neurodegenerative brains [9,10].",CBM,
11.0,11,MESH,Cytokines,POSITIVE_CORRELATION,DO,Alzheimer's disease,10381209.0,"Among earlier observations that stand out as pointing toward the need to consider inflammatory processes as important include: (1) Colton's demonstrations that cytokine-activated microglia produce ROS [3,4]; (2) that, in contrast to normal brain, proinflammatory cytokines are prevalent in Alzheimer's brains [5–7]; (3) the early indications that anti-inflammatory therapeutics may delay on-set of Alzheimer's disease [8]; and (4) the early demonstrations that complement and classic markers of immune-mediated damage are expressed in neurodegenerative brains [9,10].",CBM,
12.0,12,CHEBI,anti-inflammatory drug,DECREASES,DO,Alzheimer's disease,10381209.0,"Among earlier observations that stand out as pointing toward the need to consider inflammatory processes as important include: (1) Colton's demonstrations that cytokine-activated microglia produce ROS [3,4]; (2) that, in contrast to normal brain, proinflammatory cytokines are prevalent in Alzheimer's brains [5–7]; (3) the early indications that anti-inflammatory therapeutics may delay on-set of Alzheimer's disease [8]; and (4) the early demonstrations that complement and classic markers of immune-mediated damage are expressed in neurodegenerative brains [9,10].",CBM,
13.0,13,DO,Alzheimer's disease,DECREASES,CHEBI,anti-inflammatory drug,10381209.0,"Among earlier observations that stand out as pointing toward the need to consider inflammatory processes as important include: (1) Colton's demonstrations that cytokine-activated microglia produce ROS [3,4]; (2) that, in contrast to normal brain, proinflammatory cytokines are prevalent in Alzheimer's brains [5–7]; (3) the early indications that anti-inflammatory therapeutics may delay on-set of Alzheimer's disease [8]; and (4) the early demonstrations that complement and classic markers of immune-mediated damage are expressed in neurodegenerative brains [9,10].",CBM,
